DBN,School Name,Rigorous Instruction Rating,Rigorous Instruction - Element Score,How Interesting And Challenging Is The Curriculum,How Effective Is The Teaching And Learning,How Well Does The School Assess What Students Are Learning,Rigorous Instruction - Overall Positive Responses,Rigorous Instruction - City Positive Responses,Rigorous Instruction - Borough Positive Responses,Collaborative Teachers Rating,Collaborative Teachers - Element Score,Quality Review - How well do teachers work with each other,Collaborative Teachers - Overall Positive Responses,Collaborative Teachers - City Positive Responses,Collaborative Teachers - Borough Positive Responses,Supportive Environment Rating,Supportive Environment - Element Score,Quality Review - How clearly are high expectations communicated to students and staff,Supportive Environment - Overall Positive Responses,Supportive Environment - City Positive Responses,Supportive Environment - Borough Positive Responses,Metric Rating - Least Restrictive Environment,% of Enrollment - Least Restrictive Environment,Population % of Range - Least Restrictive Environment,Metric Value - Least Restrictive Environment,Metric Score - Least Restrictive Environment,Metric Value - Percentage of Students with 90%+ Attendance,Metric Score - Percentage of Students with 90%+ Attendance,Effective School Leadership Rating,Effective School Leadership - Element Score,Effective School Leadership - Overall Positive Responses,Effective School Leadership - City Positive Responses,Effective School Leadership - Borough Positive Responses,Strong Family-Community Ties Rating,Strong Family-Community Ties - Element Score,Strong Family-Community Ties Overall - Positive Responses,Strong Family-Community Ties - City Positive Responses,Strong Family-Community Ties - Borough Positive Responses,Trust Rating,Trust - Element Score,Trust - Overall Positive Responses,Trust - City Positive Responses,Trust - Borough Positive Responses,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,Quality Review - Principal at Time of Review,Quality Review - Dates Of Review
19K639,Brooklyn Lab School,Approaching Target,2.72,Proficient,Developing,Developing,78%,79%,78%,Meeting Target,3.63,Proficient,85%,80%,80%,Approaching Target,2.83,Developing,69%,72%,70%,Approaching Target,0.17,0.52,0.77,2.92,51.7%,3.35,Meeting Target,3.78,89%,84%,84%,Meeting Target,3.61,90%,87%,89%,Meeting Target,3.70,90%,87%,88%,55%,94%,28%,Renel Piton,"February 25, 2015"
19K659,Cypress Hills Collegiate Preparatory School,Meeting Target,3.57,Proficient,Proficient,Proficient,83%,79%,78%,Exceeding Target,4.05,Well Developed,86%,80%,80%,Meeting Target,3.51,Proficient,75%,72%,70%,Exceeding Target,0.20,0.60,1.00,4.53,52.8%,2.46,Meeting Target,3.72,91%,84%,84%,Exceeding Target,4.20,93%,87%,89%,Exceeding Target,4.05,91%,87%,88%,76%,95%,18%,Amy Yager,April 2017
19K660,W. H. Maxwell Career and Technical Education High,Approaching Target,2.84,Proficient,Developing,Developing,81%,79%,78%,Meeting Target,3.74,Proficient,88%,80%,80%,Meeting Target,3.19,Proficient,71%,72%,70%,Exceeding Target,0.30,0.92,1.14,4.33,41.7%,2.63,Meeting Target,3.70,92%,84%,84%,Meeting Target,3.79,89%,87%,89%,Meeting Target,3.89,92%,87%,88%,84%,68%,39%,JOCELYN BADETTE,March 2018
19K683,School for Classics High School,Approaching Target,2.43,Developing,Developing,Developing,82%,79%,78%,Meeting Target,3.05,Under Developed,86%,80%,80%,Meeting Target,3.51,Proficient,76%,72%,70%,Exceeding Target,0.23,0.69,0.97,4.00,47.8%,3.11,Meeting Target,3.10,90%,84%,84%,Meeting Target,3.56,87%,87%,89%,Exceeding Target,4.36,94%,87%,88%,78%,95%,38%,,April-19
19K764,The Urban Assembly School for Collaborative Health,Approaching Target,2.79,Developing,Developing,Proficient,80%,79%,78%,Meeting Target,3.38,Proficient,80%,80%,80%,Approaching Target,2.89,Proficient,65%,72%,70%,Approaching Target,0.10,0.27,0.64,2.92,56.9%,2.67,Meeting Target,3.70,90%,84%,84%,Meeting Target,3.83,90%,87%,89%,Meeting Target,3.49,88%,87%,88%,86%,96%,42%,Candace Hugee,October 2016
20K445,New Utrecht High School,Meeting Target,3.40,Proficient,Proficient,Proficient,76%,79%,78%,Meeting Target,3.54,Proficient,83%,80%,80%,Meeting Target,3.34,Proficient,70%,72%,70%,Approaching Target,0.17,0.49,0.66,2.25,69.9%,3.54,Meeting Target,3.56,87%,84%,84%,Approaching Target,2.94,83%,87%,89%,Meeting Target,3.67,89%,87%,88%,70%,60%,8%,MAUREEN GOLDFARB,April 2018
20K485,High School of Telecommunication Arts and Technolo,Exceeding Target,4.01,Well Developed,Proficient,Proficient,84%,79%,78%,Exceeding Target,4.21,Well Developed,82%,80%,80%,Exceeding Target,4.23,Proficient,78%,72%,70%,Approaching Target,0.21,0.63,0.47,2.58,84.3%,4.85,Exceeding Target,4.18,86%,84%,84%,Meeting Target,3.31,86%,87%,89%,Meeting Target,3.96,91%,87%,88%,88%,92%,22%,Xhenete Shepard,March 2017
20K490,Fort Hamilton High School,Meeting Target,3.93,Well Developed,Proficient,Proficient,81%,79%,78%,Meeting Target,3.71,Proficient,88%,80%,80%,Meeting Target,3.77,Well Developed,70%,72%,70%,Approaching Target,0.16,0.46,0.58,2.42,75.3%,3.59,Exceeding Target,4.20,90%,84%,84%,Approaching Target,2.15,79%,87%,89%,Meeting Target,3.29,86%,87%,88%,84%,85%,26%,Kaye Houlihan,June 2017
20K505,Franklin Delano Roosevelt High School,Approaching Target,2.51,Proficient,Developing,Developing,73%,79%,78%,Approaching Target,2.98,Proficient,70%,80%,80%,Meeting Target,3.08,Proficient,67%,72%,70%,Approaching Target,0.15,0.42,0.70,2.08,64.5%,3.14,Approaching Target,2.92,69%,84%,84%,Not Meeting Target,1.72,77%,87%,89%,Approaching Target,2.69,78%,87%,88%,74%,90%,31%,Melanie Katz,May 2017
20K609,Urban Assembly School for Criminal Justice,Exceeding Target,4.16,Well Developed,Proficient,Proficient,90%,79%,78%,Exceeding Target,4.24,Proficient,90%,80%,80%,Exceeding Target,4.19,Well Developed,82%,70%,70%,Approaching Target,0.16,0.47,0.37,2.67,68.0%,3.21,Exceeding Target,4.04,91%,83%,84%,Meeting Target,3.16,88%,90%,89%,Exceeding Target,4.23,93%,87%,88%,95%,96%,57%,,February-19
21K337,International High School at Lafayette,Meeting Target,3.92,Well Developed,Proficient,Proficient,80%,79%,78%,Meeting Target,3.55,Proficient,83%,80%,80%,Meeting Target,3.58,Proficient,79%,72%,70%,Not Meeting Target,0.01,0.00,1.00,1.39,68.6%,3.62,Meeting Target,3.32,79%,84%,84%,Meeting Target,3.50,87%,87%,89%,Meeting Target,3.75,87%,87%,88%,87%,96%,48%,Jon Harriman,October 2017
21K344,Rachel Carson High School for Coastal Studies,Meeting Target,3.24,Proficient,Proficient,Developing,84%,79%,78%,Meeting Target,3.35,Proficient,77%,80%,80%,Meeting Target,3.00,Proficient,72%,72%,70%,Approaching Target,0.17,0.49,0.68,2.58,57.1%,2.32,Meeting Target,3.51,83%,84%,84%,Meeting Target,3.13,84%,87%,89%,Meeting Target,3.99,90%,87%,88%,85%,88%,34%,EDWARD WILENSKY,October 2017
21K348,High School of Sports Management,Approaching Target,2.15,Developing,Developing,Developing,69%,79%,78%,Approaching Target,2.81,Proficient,75%,80%,80%,Approaching Target,2.63,Proficient,67%,72%,70%,Not Meeting Target,0.21,0.62,0.60,1.83,38.9%,1.53,Meeting Target,3.48,82%,84%,84%,Meeting Target,3.68,89%,87%,89%,Meeting Target,3.59,88%,87%,88%,63%,83%,19%,ROBIN PITTS,May 2017
21K410,Abraham Lincoln High School,Meeting Target,3.98,Well Developed,Proficient,Proficient,84%,79%,78%,Exceeding Target,4.15,Well Developed,91%,80%,80%,Meeting Target,3.95,Well Developed,72%,72%,70%,Approaching Target,0.16,0.47,0.74,2.50,63.6%,3.70,Meeting Target,3.62,90%,84%,84%,Approaching Target,2.87,82%,87%,89%,Meeting Target,3.40,88%,87%,88%,85%,96%,14%,A HOOGENBOOM,March 2017
21K468,Kingsborough Early College School,Exceeding Target,4.78,Well Developed,Well Developed,Well Developed,85%,79%,78%,Exceeding Target,4.72,Well Developed,92%,80%,80%,Meeting Target,3.51,Well Developed,67%,70%,70%,Meeting Target,0.17,0.52,0.39,3.13,76.1%,2.77,Exceeding Target,4.59,97%,83%,84%,Exceeding Target,4.08,93%,90%,89%,Exceeding Target,4.03,92%,87%,88%,88%,98%,34%,Connie Hamilton,4-May-15
21K525,Edward R. Murrow High School,Meeting Target,3.11,Proficient,Proficient,Developing,78%,79%,78%,Exceeding Target,4.27,Well Developed,83%,80%,80%,Meeting Target,3.80,Well Developed,71%,72%,70%,Approaching Target,0.18,0.55,0.56,2.17,77.6%,3.62,Meeting Target,3.76,83%,84%,84%,Approaching Target,2.65,81%,87%,89%,Meeting Target,3.62,88%,87%,88%,84%,66%,15%,Allen Barge,April 2018
21K540,John Dewey High School,Meeting Target,3.12,Proficient,Developing,Proficient,80%,79%,78%,Meeting Target,3.45,Proficient,81%,80%,80%,Exceeding Target,4.02,Well Developed,72%,72%,70%,Meeting Target,0.14,0.40,0.68,3.00,80.5%,4.75,Meeting Target,3.72,83%,84%,84%,Approaching Target,2.10,78%,87%,89%,Meeting Target,3.41,87%,87%,88%,69%,76%,37%,CONNIE HAMILTON,May 2017
21K559,Life Academy High School for Film and Music,Meeting Target,3.05,Proficient,Proficient,Proficient,65%,79%,78%,Approaching Target,2.83,Proficient,67%,80%,80%,Approaching Target,2.49,Proficient,57%,72%,70%,Exceeding Target,0.25,0.75,0.96,4.53,51.9%,2.15,Meeting Target,3.43,82%,84%,84%,Not Meeting Target,1.38,74%,87%,89%,Not Meeting Target,1.82,74%,87%,88%,72%,64%,5%,Eugenia Kelch,May 2018
21K572,Expeditionary Learning School for Community Leader,Exceeding Target,4.40,Well Developed,Proficient,Well Developed,85%,79%,78%,Exceeding Target,4.81,Well Developed,96%,80%,80%,Meeting Target,3.47,Well Developed,78%,72%,70%,Approaching Target,0.20,0.61,0.52,2.83,49.7%,1.55,Exceeding Target,4.43,96%,84%,84%,Exceeding Target,4.05,90%,87%,89%,Exceeding Target,4.29,94%,87%,88%,85%,100%,51%,David O Hara,"February 10, 2015"
21K620,William E. Grady Career and Technical Education Hi,Approaching Target,2.65,Proficient,Developing,Developing,76%,79%,78%,Meeting Target,3.21,Developing,87%,80%,80%,Meeting Target,3.06,Proficient,70%,72%,70%,Approaching Target,0.37,1.00,0.77,2.42,49.4%,2.58,Meeting Target,3.52,88%,84%,84%,Approaching Target,2.99,84%,87%,89%,Meeting Target,3.45,89%,87%,88%,62%,93%,32%,Tarah Montalbano,November 2016
21K690,Brooklyn Studio Secondary School,Meeting Target,3.31,Proficient,Proficient,Proficient,76%,79%,78%,Meeting Target,3.37,Proficient,77%,80%,80%,Meeting Target,3.16,Proficient,68%,70%,70%,Meeting Target,0.19,0.58,0.64,3.63,57.3%,1.77,Meeting Target,3.31,78%,83%,84%,Meeting Target,3.15,88%,90%,89%,Meeting Target,3.11,83%,87%,88%,74%,63%,17%,ANDREA CILIOTTA,March 2017
22K405,Midwood High School,Meeting Target,3.06,Proficient,Proficient,Developing,79%,79%,78%,Approaching Target,2.81,Proficient,69%,80%,80%,Meeting Target,3.18,Proficient,72%,72%,70%,Meeting Target,0.13,0.37,0.61,3.38,79.5%,2.74,Approaching Target,2.76,73%,84%,84%,Approaching Target,2.16,80%,87%,89%,Approaching Target,2.62,78%,87%,88%,80%,78%,13%,Michael Mcdonnell,February 2018
22K425,James Madison High School,Approaching Target,2.80,Proficient,Developing,Developing,81%,79%,78%,Approaching Target,2.79,Developing,84%,80%,80%,Meeting Target,3.70,Well Developed,70%,72%,70%,Approaching Target,0.16,0.46,0.62,2.92,86.4%,4.57,Meeting Target,3.30,88%,84%,84%,Exceeding Target,4.21,91%,87%,89%,Meeting Target,3.58,87%,87%,88%,91%,95%,15%,Jodie Cohen,November 2017
22K535,Leon M. Goldstein High School for the Sciences,Meeting Target,3.09,Proficient,Proficient,Developing,80%,79%,78%,Meeting Target,3.26,Proficient,78%,80%,80%,Meeting Target,3.79,Proficient,75%,72%,70%,Approaching Target,0.16,0.48,0.64,2.58,89.6%,4.01,Meeting Target,3.32,80%,84%,84%,Approaching Target,2.20,80%,87%,89%,Meeting Target,3.34,86%,87%,88%,72%,57%,21%,Scott Hughes,November 2016
22K555,Brooklyn College Academy,Exceeding Target,4.45,Well Developed,Well Developed,Proficient,87%,79%,78%,Exceeding Target,4.41,Well Developed,87%,80%,80%,Exceeding Target,4.31,Well Developed,78%,72%,70%,Exceeding Target,0.14,0.39,0.76,4.33,88.3%,4.06,Meeting Target,3.84,90%,84%,84%,Meeting Target,3.38,85%,87%,89%,Meeting Target,3.95,92%,87%,88%,92%,97%,50%,Nicholas Mazzarella,12-Jan-16
22K611,Origins High School,Meeting Target,3.47,Proficient,Proficient,Proficient,80%,79%,78%,Exceeding Target,4.29,Proficient,93%,80%,80%,Approaching Target,2.98,Well Developed,67%,72%,70%,Exceeding Target,0.14,0.40,0.98,4.50,46.5%,1.64,Meeting Target,3.97,90%,84%,84%,Exceeding Target,4.17,91%,87%,89%,Exceeding Target,4.00,92%,87%,88%,82%,76%,44%,John Banks,March 2018
23K493,Brooklyn Collegiate: A College Board School,Meeting Target,3.26,Proficient,Proficient,Developing,83%,79%,78%,Meeting Target,3.71,Proficient,77%,80%,80%,Meeting Target,3.53,Proficient,76%,72%,70%,Exceeding Target,0.26,0.78,1.11,4.90,50.4%,3.02,Meeting Target,3.84,83%,84%,84%,Exceeding Target,4.33,94%,87%,89%,Meeting Target,3.94,90%,87%,88%,92%,100%,25%,Heather Newman,April 2018
23K514,Frederick Douglass Academy VII High School,Meeting Target,3.71,Proficient,Proficient,Proficient,85%,79%,78%,Meeting Target,3.77,Proficient,89%,80%,80%,Exceeding Target,4.37,Well Developed,81%,72%,70%,Exceeding Target,0.30,0.93,1.00,4.60,59.7%,4.69,Meeting Target,3.93,97%,84%,84%,Exceeding Target,4.40,93%,87%,89%,Exceeding Target,4.08,93%,87%,88%,90%,100%,84%,Tamika Matheson,May 2017
23K644,Eagle Academy for Young Men II,Meeting Target,3.73,Proficient,Proficient,Proficient,87%,79%,78%,Exceeding Target,4.04,Proficient,95%,80%,80%,Exceeding Target,4.29,Well Developed,75%,70%,70%,Approaching Target,0.23,0.69,0.53,2.58,70.2%,3.90,Exceeding Target,4.72,98%,83%,84%,Exceeding Target,4.51,96%,90%,89%,Exceeding Target,4.36,94%,87%,88%,54%,83%,48%,Rashad Meade,30-Oct-14
23K697,Teachers Preparatory High School,Approaching Target,2.56,Proficient,Developing,Developing,74%,79%,78%,Meeting Target,3.24,Developing,85%,80%,80%,Approaching Target,2.92,Proficient,68%,70%,70%,Not Meeting Target,0.34,1.00,1.03,1.94,40.6%,2.77,Approaching Target,2.97,88%,83%,84%,Meeting Target,3.29,89%,90%,89%,Meeting Target,3.87,91%,87%,88%,74%,95%,37%,Carmen Simon,April 2017
24Q236,International High School for Health Sciences,Meeting Target,3.71,Proficient,Proficient,Proficient,87%,79%,80%,Exceeding Target,4.02,Proficient,95%,80%,81%,Exceeding Target,4.13,Proficient,84%,72%,73%,Exceeding Target,0.03,0.04,1.29,4.99,66.4%,3.57,Exceeding Target,4.09,94%,84%,83%,Meeting Target,3.77,89%,87%,87%,Exceeding Target,4.32,94%,87%,86%,87%,100%,94%,Carl Finney,March 2017
24Q264,Academy of Finance and Enterprise,Exceeding Target,4.06,Proficient,Proficient,Well Developed,86%,79%,80%,Exceeding Target,4.59,Well Developed,92%,80%,81%,Exceeding Target,4.07,Well Developed,79%,72%,73%,Exceeding Target,0.13,0.38,0.79,4.27,78.5%,3.17,Exceeding Target,4.29,95%,84%,83%,Exceeding Target,4.00,89%,87%,87%,Exceeding Target,4.04,92%,87%,86%,96%,100%,98%,Victoria Armano,"March 19, 2015"
24Q267,High School of Applied Communication,Approaching Target,2.52,Proficient,Developing,Proficient,56%,79%,80%,Approaching Target,2.45,Proficient,57%,80%,81%,Approaching Target,2.68,Proficient,53%,72%,73%,Exceeding Target,0.18,0.55,0.88,4.43,69.8%,3.06,Approaching Target,2.50,55%,84%,83%,Not Meeting Target,1.94,78%,87%,87%,Not Meeting Target,1.52,68%,87%,86%,89%,100%,16%,,May-19
24Q293,Civic Leadership Academy,Meeting Target,3.94,Well Developed,Proficient,Proficient,82%,79%,80%,Exceeding Target,4.53,Well Developed,88%,80%,81%,Meeting Target,3.77,Proficient,82%,72%,73%,Exceeding Target,0.19,0.58,0.96,4.17,74.1%,3.51,Meeting Target,3.40,83%,84%,83%,Meeting Target,3.20,85%,87%,87%,Meeting Target,3.75,88%,87%,86%,86%,94%,64%,Phuong Nguyen,14-Jan-16
24Q296,Pan American International High School,Exceeding Target,4.11,Well Developed,Proficient,Proficient,89%,79%,80%,Exceeding Target,4.42,Well Developed,87%,80%,81%,Exceeding Target,4.80,Well Developed,85%,72%,73%,Exceeding Target,0.02,0.03,1.30,4.47,82.0%,4.99,Meeting Target,3.93,88%,84%,83%,Exceeding Target,4.50,94%,87%,87%,Exceeding Target,4.27,92%,87%,86%,96%,70%,53%,George Badia,May 2017
24Q299,Bard High School Early College Queens,Exceeding Target,4.90,Well Developed,Well Developed,Well Developed,90%,79%,80%,Meeting Target,3.89,Well Developed,75%,80%,81%,Exceeding Target,4.45,Well Developed,84%,72%,73%,Meeting Target,0.05,0.12,0.48,3.75,93.5%,4.29,Meeting Target,3.48,83%,84%,83%,Meeting Target,3.46,85%,87%,87%,Exceeding Target,4.05,91%,87%,86%,73%,86%,30%,Valeri Thomson,"April 22, 2015"
24Q455,Newtown High School,Meeting Target,3.37,Proficient,Proficient,Developing,88%,79%,80%,Meeting Target,3.51,Proficient,92%,80%,81%,Exceeding Target,4.28,Well Developed,80%,72%,73%,Meeting Target,0.13,0.36,0.76,3.38,73.3%,4.72,Exceeding Target,4.11,94%,84%,83%,Meeting Target,3.76,87%,87%,87%,Exceeding Target,4.13,93%,87%,86%,78%,87%,32%,JOHN FICALORA,March 2018
24Q485,Grover Cleveland High School,Approaching Target,2.41,Proficient,Developing,Developing,67%,79%,80%,Meeting Target,3.06,Proficient,72%,80%,81%,Meeting Target,3.23,Proficient,66%,72%,73%,Not Meeting Target,0.19,0.56,0.65,1.94,57.2%,2.94,Meeting Target,3.22,75%,84%,83%,Approaching Target,2.34,81%,87%,87%,Approaching Target,2.97,82%,87%,86%,65%,44%,19%,Denise Vittor,March 2017
24Q520,Middle College High School at LaGuardia Community,Meeting Target,3.62,Proficient,Proficient,Proficient,85%,79%,80%,Meeting Target,3.55,Proficient,84%,80%,81%,Exceeding Target,4.19,Well Developed,79%,72%,73%,Exceeding Target,0.16,0.46,0.70,4.10,81.0%,4.37,Meeting Target,3.51,84%,84%,83%,Meeting Target,3.90,89%,87%,87%,Meeting Target,3.67,88%,87%,86%,81%,82%,22%,LINDA SIEGMUND,November 2017
24Q530,International High School at LaGuardia Community C,Exceeding Target,4.10,Proficient,Well Developed,Proficient,92%,79%,80%,Exceeding Target,4.52,Well Developed,88%,80%,81%,Exceeding Target,4.59,Well Developed,94%,72%,73%,Exceeding Target,0.02,0.02,1.10,4.60,76.0%,3.98,Exceeding Target,4.17,91%,84%,83%,Exceeding Target,4.66,95%,87%,87%,Exceeding Target,4.57,97%,87%,86%,89%,100%,62%,Jaclyn Valane,15-Jan-15
24Q550,High School for Arts and Business,Exceeding Target,4.01,Well Developed,Proficient,Proficient,85%,79%,80%,Exceeding Target,4.64,Well Developed,93%,80%,81%,Exceeding Target,4.40,Well Developed,81%,72%,73%,Exceeding Target,0.17,0.49,0.89,4.60,75.3%,4.06,Exceeding Target,4.24,93%,84%,83%,Exceeding Target,4.34,92%,87%,87%,Exceeding Target,4.11,92%,87%,86%,94%,87%,63%,Ana R. Zambrano-Burakov,"March 25, 2015"
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",Meeting Target,3.52,Proficient,Proficient,Proficient,81%,79%,80%,Meeting Target,3.80,Well Developed,78%,80%,81%,Exceeding Target,4.17,Well Developed,75%,70%,73%,Exceeding Target,0.19,0.56,0.59,4.07,77.2%,3.54,Meeting Target,3.51,84%,83%,83%,Approaching Target,2.87,86%,90%,87%,Meeting Target,3.62,87%,87%,86%,86%,83%,50%,Daniel Albetta,November 2016
24Q585,Maspeth High School,Exceeding Target,4.77,Well Developed,Well Developed,Well Developed,86%,79%,80%,Exceeding Target,4.37,Well Developed,86%,80%,81%,Meeting Target,3.87,Well Developed,77%,72%,73%,Exceeding Target,0.17,0.51,0.81,4.67,79.9%,2.83,Meeting Target,3.56,88%,84%,83%,Meeting Target,3.09,84%,87%,87%,Meeting Target,3.21,85%,87%,86%,85%,81%,59%,Khurshid Abdul-Mutakabbir,8-Dec-15
24Q600,Queens Technical High School,Meeting Target,3.16,Proficient,Developing,Proficient,80%,79%,80%,Meeting Target,3.16,Proficient,83%,80%,81%,Exceeding Target,4.00,Well Developed,74%,72%,73%,Approaching Target,0.18,0.54,0.64,2.58,81.2%,4.46,Meeting Target,3.50,84%,84%,83%,Meeting Target,3.43,86%,87%,87%,Meeting Target,3.44,86%,87%,86%,88%,87%,20%,Melissa Burg,November 2017
24Q610,Aviation Career & Technical Education High School,Meeting Target,3.96,Well Developed,Proficient,Proficient,85%,79%,80%,Meeting Target,3.97,Proficient,85%,80%,81%,Exceeding Target,4.46,Well Developed,81%,72%,73%,Approaching Target,0.15,0.43,0.61,2.25,94.3%,4.66,Meeting Target,3.89,86%,84%,83%,Meeting Target,3.23,84%,87%,87%,Meeting Target,3.85,90%,87%,86%,89%,85%,27%,,October-18
25Q240,Veritas Academy,Exceeding Target,4.01,Well Developed,Proficient,Proficient,85%,79%,80%,Exceeding Target,4.16,Well Developed,90%,80%,81%,Meeting Target,3.75,Well Developed,72%,72%,73%,Meeting Target,0.18,0.55,0.88,3.88,65.1%,2.90,Exceeding Target,4.55,91%,84%,83%,Meeting Target,3.55,86%,87%,87%,Meeting Target,3.57,90%,87%,86%,95%,98%,35%,,November-18
25Q241,Queens High School for Language Studies,Meeting Target,3.00,Proficient,Developing,Developing,86%,79%,80%,Exceeding Target,4.33,Proficient,94%,80%,81%,Exceeding Target,4.17,Proficient,84%,72%,73%,Approaching Target,0.05,0.13,0.74,2.92,80.6%,4.01,Exceeding Target,4.56,98%,84%,83%,Approaching Target,2.86,84%,87%,87%,Exceeding Target,4.40,95%,87%,86%,87%,94%,93%,Melanie Lee,December 2016
25Q252,"Queens School of Inquiry, The",Exceeding Target,4.55,Well Developed,Well Developed,Well Developed,78%,79%,80%,Meeting Target,3.61,Well Developed,75%,80%,81%,Meeting Target,3.92,Well Developed,73%,70%,73%,Exceeding Target,0.15,0.45,0.35,4.04,84.8%,3.71,Exceeding Target,4.18,78%,83%,83%,Approaching Target,2.59,84%,90%,87%,Meeting Target,3.58,87%,87%,86%,95%,100%,56%,,May-19
25Q263,Flushing International High School,Exceeding Target,4.49,Well Developed,Proficient,Well Developed,88%,79%,80%,Exceeding Target,4.52,Well Developed,99%,80%,81%,Exceeding Target,4.32,Well Developed,87%,72%,73%,Approaching Target,0.02,0.03,0.70,2.92,67.1%,3.46,Exceeding Target,4.65,99%,84%,83%,Exceeding Target,4.02,89%,87%,87%,Exceeding Target,4.76,97%,87%,86%,88%,100%,74%,Lara Evangelista,April 2018
25Q281,East-West School of International Studies,Meeting Target,3.64,Proficient,Proficient,Proficient,84%,79%,80%,Meeting Target,3.96,Well Developed,77%,80%,81%,Exceeding Target,4.00,Well Developed,74%,70%,73%,Approaching Target,0.16,0.48,0.40,2.08,79.8%,3.05,Meeting Target,3.86,78%,83%,83%,Meeting Target,3.80,91%,90%,87%,Meeting Target,3.52,85%,87%,86%,98%,92%,43%,,December-18
25Q285,World Journalism Preparatory: A College Board Scho,Meeting Target,3.35,Proficient,Proficient,Proficient,78%,79%,80%,Exceeding Target,4.23,Proficient,91%,80%,81%,Meeting Target,3.25,Well Developed,68%,70%,73%,Exceeding Target,0.19,0.57,0.50,4.10,72.6%,2.33,Exceeding Target,4.11,94%,83%,83%,Exceeding Target,4.01,92%,90%,87%,Meeting Target,3.90,91%,87%,86%,77%,90%,27%,JANINE WERNER,December 2017
25Q425,John Bowne High School,Meeting Target,3.47,Proficient,Proficient,Proficient,78%,79%,80%,Exceeding Target,4.22,Well Developed,81%,80%,81%,Meeting Target,3.10,Well Developed,66%,72%,73%,Approaching Target,0.15,0.43,0.72,2.75,61.7%,2.63,Meeting Target,3.40,84%,84%,83%,Approaching Target,2.59,81%,87%,87%,Meeting Target,3.38,87%,87%,86%,75%,65%,13%,HOWARD KWAIT,February 2017
25Q460,Flushing High School,Approaching Target,2.25,Developing,Developing,Developing,75%,79%,80%,Approaching Target,2.95,Proficient,71%,80%,81%,Approaching Target,2.75,Proficient,65%,72%,73%,Approaching Target,0.12,0.35,0.74,2.67,56.1%,2.20,Meeting Target,3.12,74%,84%,83%,Not Meeting Target,1.83,78%,87%,87%,Meeting Target,3.02,83%,87%,86%,85%,45%,40%,Ignazio Accardi,May 2018
25Q525,Townsend Harris High School,Exceeding Target,4.80,Well Developed,Well Developed,Well Developed,88%,79%,80%,Exceeding Target,4.04,Well Developed,77%,80%,81%,Exceeding Target,4.47,Well Developed,86%,72%,73%,Approaching Target,0.05,0.10,0.51,2.67,94.8%,4.39,Approaching Target,2.69,75%,84%,83%,Meeting Target,3.12,84%,87%,87%,Meeting Target,3.18,83%,87%,86%,72%,76%,30%,Anthony D. Barbetta,"January 14, 2015"
25Q670,Robert F. Kennedy Community High School,Exceeding Target,4.69,Well Developed,Well Developed,Well Developed,83%,79%,80%,Exceeding Target,4.44,Well Developed,88%,80%,81%,Meeting Target,3.80,Well Developed,75%,72%,73%,Exceeding Target,0.20,0.61,0.67,4.27,68.2%,2.77,Exceeding Target,4.01,91%,84%,83%,Meeting Target,3.78,87%,87%,87%,Meeting Target,3.78,89%,87%,86%,86%,100%,26%,Beshir Abdellatif,12-Jan-16
26Q315,Business Technology Early College High School,Meeting Target,3.32,Proficient,Proficient,Developing,86%,79%,80%,Meeting Target,3.75,Proficient,89%,80%,81%,Meeting Target,3.59,Well Developed,80%,72%,73%,Exceeding Target,0.13,0.36,1.02,4.53,59.5%,1.44,Meeting Target,3.73,91%,84%,83%,Exceeding Target,4.44,93%,87%,87%,Exceeding Target,4.21,93%,87%,86%,87%,91%,51%,,November-18
